wavelength (nm),29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023,29/05/2023
326.5,12.915,15.561,20.347,16.328,16.916,34.883,38.4,30.705,43.413,7.551
327,12.974,15.535,20.309,16.276,16.848,34.729,38.263,30.56,43.432,7.624
327.5,12.96,15.496,20.27,16.206,16.863,34.641,38.137,30.369,43.469,7.672
328,12.918,15.42,20.252,16.215,16.855,34.684,37.995,30.177,43.513,7.749
328.5,12.873,15.256,20.126,16.204,16.792,34.535,37.724,29.937,43.452,7.775
329,12.78,15.08,19.966,16.169,16.791,34.249,37.357,29.593,43.359,7.736
329.5,12.658,14.929,19.944,16.09,16.749,33.905,37.02,29.303,43.234,7.707
330,12.603,14.88,19.87,16.05,16.697,33.601,36.687,29.096,43.17,7.659
330.5,12.465,14.849,19.768,15.999,16.557,33.256,36.282,28.894,42.99,7.575
331,12.355,14.735,19.68,15.945,16.423,32.926,35.928,28.714,42.796,7.459
331.5,12.322,14.716,19.623,15.799,16.319,32.609,35.664,28.517,42.621,7.399
332,12.313,14.723,19.556,15.685,16.211,32.294,35.327,28.217,42.488,7.371
332.5,12.285,14.772,19.463,15.523,16.075,31.959,34.866,27.821,42.319,7.318
333,12.367,14.856,19.287,15.331,15.898,31.473,34.327,27.312,42.127,7.24
333.5,12.294,14.788,19.117,15.21,15.787,30.972,33.935,26.922,41.944,7.282
334,12.247,14.759,18.952,15.12,15.771,30.523,33.521,26.546,41.806,7.272
334.5,12.133,14.617,18.897,15.038,15.64,30.151,33.136,26.23,41.667,7.315
335,12.046,14.534,18.763,14.921,15.507,29.88,32.764,25.89,41.59,7.307
335.5,11.945,14.427,18.584,14.829,15.331,29.588,32.398,25.614,41.418,7.294
336,11.901,14.261,18.422,14.745,15.204,29.263,32.035,25.303,41.318,7.253
336.5,11.814,14.18,18.258,14.613,15.09,28.983,31.775,25.027,41.217,7.234
337,11.728,14.045,18.048,14.47,14.912,28.601,31.299,24.644,41.079,7.149
337.5,11.607,13.916,17.885,14.334,14.761,28.204,30.81,24.238,40.957,07.09
338,11.57,13.857,17.668,14.144,14.613,27.735,30.362,23.777,40.778,7.041
338.5,11.35,13.621,17.526,14.052,14.567,27.459,30.109,23.562,40.679,7.091
339,11.196,13.49,17.368,13.947,14.532,27.173,29.796,23.396,40.566,7.12
339.5,11.007,13.242,17.25,13.851,14.439,26.942,29.54,23.188,40.47,7.173
340,10.822,13.077,17.112,13.667,14.302,26.748,29.312,22.972,40.423,7.209
340.5,10.763,12.96,16.977,13.538,14.171,26.451,29.04,22.769,40.321,7.235
341,10.76,12.904,16.803,13.397,14.033,26.063,28.747,22.42,40.226,7.229
341.5,10.61,12.762,16.655,13.285,13.866,25.722,28.427,22.072,40.138,7.246
342,10.513,12.636,16.494,13.154,13.663,25.301,28.081,21.742,40.032,7.205
342.5,10.358,12.55,16.408,13.064,13.556,24.924,27.661,21.381,39.905,7.214
343,10.259,12.439,16.253,12.948,13.416,24.583,27.185,20.981,39.692,7.199
343.5,10.033,12.278,16.101,12.845,13.331,24.2,26.764,20.672,39.506,7.179
344,9.84,12.132,15.965,12.784,13.268,23.953,26.407,20.5,39.383,7.225
344.5,9.703,11.935,15.814,12.703,13.19,23.766,26.081,20.289,39.326,7.285
345,9.575,11.786,15.646,12.561,13.017,23.567,25.764,20.023,39.222,7.333
345.5,9.565,11.656,15.454,12.395,12.878,23.249,25.382,19.718,39.07,7.351
346,9.504,11.532,15.251,12.215,12.716,23.065,25.124,19.477,38.994,7.445
346.5,9.339,11.341,15.022,12.036,12.501,22.74,24.818,19.21,38.942,7.475
347,9.283,11.234,14.8,11.874,12.288,22.395,24.483,18.973,38.787,7.454
347.5,9.216,11.063,14.604,11.692,12.144,22.043,23.993,18.661,38.585,7.444
348,9.141,10.878,14.36,11.526,11.995,21.604,23.494,18.278,38.308,7.368
348.5,9.036,10.698,14.188,11.373,11.874,21.092,23.08,17.929,38.045,7.278
349,8.912,10.506,14.07,11.297,11.795,20.728,22.803,17.65,37.912,7.235
349.5,8.792,10.344,13.936,11.176,11.677,20.428,22.5,17.316,37.824,7.237
350,8.68,10.257,13.777,11.05,11.565,20.201,22.267,16.998,37.708,7.196
350.5,8.615,10.134,13.64,10.899,11.478,19.942,22.032,16.704,37.635,7.182
351,8.422,10.047,13.485,10.743,11.302,19.724,21.805,16.4,37.565,7.17
351.5,8.277,9.962,13.296,10.59,11.116,19.384,21.478,16.017,37.516,7.14
352,8.224,9.846,13.114,10.466,10.943,19.139,21.167,15.702,37.405,7.089
352.5,8.127,9.73,12.906,10.317,10.82,18.854,20.751,15.319,37.253,7.054
353,8.055,9.653,12.646,10.131,10.656,18.536,20.334,15.005,37.037,6.999
353.5,7.943,9.457,12.482,9.973,10.531,18.242,19.989,14.826,36.881,6.986
354,7.79,9.241,12.315,9.888,10.395,18.11,19.811,14.747,36.778,7.024
354.5,7.566,9.067,12.145,9.78,10.325,17.999,19.562,14.59,36.736,7.094
355,7.367,8.932,11.994,9.723,10.292,17.894,19.385,14.557,36.674,7.163
355.5,7.302,8.834,11.833,9.593,10.127,17.604,19.011,14.316,36.535,7.14
356,7.179,8.734,11.685,9.476,9.964,17.234,18.697,14.093,36.37,7.123
356.5,7.128,8.676,11.578,9.354,9.856,16.884,18.423,13.851,36.29,7.187
357,7.114,8.586,11.417,9.214,9.729,16.603,18.205,13.644,36.257,7.213
357.5,7.054,8.488,11.244,9.064,9.631,16.337,17.971,13.458,36.205,7.229
358,7.033,8.411,11.082,8.918,9.573,16.18,17.844,13.383,36.172,7.305
358.5,6.997,8.217,10.937,8.805,9.51,16.065,17.783,13.349,36.119,7.347
359,6.914,8.007,10.813,8.765,9.473,16.116,17.812,13.314,36.141,7.408
359.5,6.745,7.854,10.7,8.716,9.502,16.061,17.681,13.107,36.176,7.4
360,6.651,7.723,10.605,8.708,9.464,15.925,17.442,12.825,36.092,7.327
360.5,6.639,7.699,10.502,8.63,9.317,15.637,17.086,12.479,35.871,7.212
361,6.56,7.601,10.401,8.571,9.226,15.46,16.814,12.189,35.673,7.119
361.5,6.475,7.537,10.287,8.483,9.115,15.242,16.502,11.938,35.548,7.101
362,6.372,7.393,10.114,8.364,9.023,15.022,16.265,11.738,35.469,7.081
362.5,6.274,7.234,9.949,8.259,8.905,14.877,16.088,11.658,35.428,7.132
363,6.174,7.082,9.801,8.147,8.78,14.688,15.926,11.603,35.415,7.199
363.5,6.148,6.987,9.645,7.988,8.638,14.438,15.753,11.491,35.393,7.186
364,6.057,6.881,9.534,7.92,8.573,14.283,15.654,11.422,35.433,7.229
364.5,5.963,6.786,9.419,7.864,8.486,14.149,15.444,11.281,35.503,7.239
365,5.867,6.729,9.321,7.816,8.373,13.934,15.16,11.061,35.411,7.177
365.5,5.867,6.711,9.269,7.746,8.291,13.797,14.957,10.922,35.243,7.147
366,5.818,6.669,9.142,7.662,8.221,13.673,14.808,10.791,35.094,7.088
366.5,5.737,6.563,9.027,7.585,8.148,13.488,14.699,10.707,35.034,7.085
367,5.675,6.458,8.923,7.516,8.133,13.399,14.707,10.634,34.996,7.102
367.5,5.608,6.42,8.814,7.427,8.013,13.242,14.562,10.39,34.923,7.098
368,5.578,6.374,8.679,7.26,7.848,12.974,14.289,10.146,34.817,7.005
368.5,5.591,6.374,8.556,7.083,7.736,12.808,14.155,9.966,34.78,6.991
369,5.499,6.268,8.479,7.001,7.699,12.789,14.065,9.965,34.81,7.116
369.5,5.392,6.135,8.379,6.916,7.657,12.737,13.887,9.921,34.912,7.169
370,5.261,6.021,8.254,6.852,7.585,12.626,13.637,9.789,34.845,7.182
370.5,5.235,5.878,8.158,6.807,7.498,12.498,13.43,9.669,34.775,7.22
371,5.164,5.741,8.027,6.794,7.416,12.344,13.24,9.557,34.667,7.21
371.5,5.059,5.571,7.993,6.816,7.369,12.24,13.131,9.49,34.606,7.201
372,4.999,5.473,7.934,6.867,7.328,12.198,13.108,9.433,34.595,7.198
372.5,4.952,5.447,7.829,6.87,7.291,12.048,12.859,9.114,34.507,7.119
373,5.069,5.489,7.664,6.742,7.163,11.774,12.545,8.863,34.324,6.991
373.5,5.181,5.454,7.535,6.629,7.132,11.637,12.449,8.757,34.295,6.981
374,5.175,5.365,7.408,6.549,7.122,11.591,12.405,8.784,34.279,6.99
374.5,5.091,5.342,7.287,6.48,7.122,11.468,12.287,8.731,34.27,6.982
375,5.025,5.301,7.142,6.354,7.024,11.227,12.077,8.507,34.133,6.918
375.5,4.978,5.202,7.008,6.245,6.934,10.967,11.871,8.319,34.054,6.891
376,4.872,5.123,6.877,6.145,6.826,10.777,11.649,8.115,33.857,6.801
376.5,4.778,5.059,6.836,6.087,6.743,10.684,11.58,8.049,33.776,6.78
377,4.614,4.939,6.787,6.078,6.672,10.505,11.541,7.918,33.759,6.77
377.5,4.578,4.919,6.734,6.065,6.652,10.454,11.433,7.859,33.781,6.809
378,4.604,4.877,6.666,6.028,6.627,10.319,11.376,7.856,33.781,6.88
378.5,4.625,4.801,6.616,6.003,6.639,10.309,11.398,7.92,33.837,6.945
379,4.576,4.716,6.55,5.998,6.604,10.375,11.445,7.984,33.865,7.063
379.5,4.485,4.725,6.516,5.984,6.603,10.496,11.439,8.087,33.945,7.21
380,4.418,4.679,6.434,5.899,6.531,10.47,11.341,8.094,33.964,7.257
380.5,4.321,4.57,6.345,5.83,6.505,10.434,11.216,8.071,33.951,7.301
381,4.24,4.473,6.29,5.828,6.472,10.368,11.154,8.034,33.896,7.326
381.5,4.224,4.364,6.212,5.752,6.399,10.272,11.045,7.911,33.885,7.289
382,4.1,4.21,6.156,5.691,6.314,9.997,10.854,7.577,33.8,7.138
382.5,04.06,4.174,06.07,5.624,6.231,9.802,10.671,7.446,33.716,7.015
383,3.968,4.058,5.978,5.578,6.221,9.668,10.542,7.285,33.672,6.946
383.5,3.949,4.005,5.895,5.525,6.194,9.599,10.432,7.15,33.553,6.874
384,3.975,3.979,5.816,5.477,6.184,9.596,10.395,7.143,33.497,6.865
384.5,4.012,4.003,5.738,5.463,6.168,9.662,10.44,7.175,33.527,6.926
385,04.05,4.026,5.66,5.414,6.153,9.761,10.457,7.255,33.503,7
385.5,4.019,3.937,5.659,5.426,6.161,9.84,10.452,7.309,33.462,7.156
386,4.037,3.891,5.675,5.458,6.148,9.883,10.453,7.39,33.479,7.268
386.5,4.018,3.84,5.606,5.374,6.061,9.85,10.347,7.287,33.475,7.338
387,3.948,3.84,5.486,5.288,5.892,9.65,10.125,7.023,33.41,7.287
387.5,3.914,3.852,5.351,5.197,5.76,9.373,9.898,6.802,33.291,7.207
388,3.86,3.771,5.256,5.154,5.706,9.216,9.797,6.663,33.266,7.141
388.5,3.848,3.734,5.14,5.068,5.627,9.052,9.651,6.562,33.205,7.053
389,3.819,3.702,5.024,5.026,5.606,8.94,9.634,6.521,33.201,6.984
389.5,3.814,3.649,4.935,4.99,5.584,8.887,9.556,6.391,33.139,6.904
390,3.781,3.56,4.898,4.965,5.642,8.925,9.547,6.426,33.099,6.877
390.5,3.7,3.447,4.923,4.97,5.681,8.966,9.545,6.465,33.12,6.887
391,3.59,3.399,4.938,5.002,5.694,8.993,9.54,6.516,33.116,6.866
391.5,3.456,3.293,4.921,4.984,5.658,09.02,9.505,6.522,33.074,6.881
392,3.41,3.287,4.872,4.966,5.572,8.961,9.456,6.512,33.023,6.896
392.5,3.391,3.299,4.786,4.917,5.529,8.849,9.455,6.483,32.987,6.911
393,3.396,3.275,4.718,4.83,5.471,8.732,9.39,6.43,32.928,6.898
393.5,3.402,3.289,4.612,4.674,5.348,8.609,9.198,6.321,32.889,6.894
394,3.409,3.3,4.519,4.588,5.286,8.429,9.038,6.167,32.861,6.928
394.5,3.439,3.254,4.426,4.498,5.221,8.314,8.845,5.995,32.746,6.936
395,3.384,3.158,4.358,4.464,5.182,8.264,8.786,5.947,32.746,6.969
395.5,3.388,3.164,4.288,4.4,5.136,8.203,8.743,5.86,32.732,6.947
396,3.397,3.163,4.23,4.375,5.059,8.086,8.638,5.717,32.659,6.894
396.5,3.377,3.103,4.206,4.361,5.004,08.08,8.602,5.649,32.589,6.876
397,3.362,3.126,4.173,4.364,4.958,8.078,8.592,5.672,32.559,6.87
397.5,3.332,3.149,4.11,4.326,4.931,8.032,8.564,5.663,32.575,6.842
398,3.269,3.121,4.078,4.28,4.915,7.908,8.481,5.665,32.533,6.815
398.5,3.256,3.138,4.025,4.234,4.876,7.864,8.349,5.66,32.553,6.794
399,3.234,3.045,4.022,4.263,4.908,7.863,8.27,5.631,32.618,6.816
399.5,3.147,2.926,3.996,4.252,4.897,7.822,8.233,5.597,32.623,6.835
400,3.012,2.799,3.986,4.258,4.86,7.806,8.189,5.559,32.599,6.82
400.5,2.95,2.734,3.983,4.238,4.839,7.784,8.223,5.56,32.563,6.792
401,2.909,2.662,3.989,4.224,4.792,7.773,8.215,5.511,32.506,6.802
401.5,2.86,2.577,3.964,4.152,4.738,7.796,8.195,5.437,32.438,6.827
402,2.769,2.518,3.932,4.103,4.679,7.741,8.151,5.404,32.393,6.806
402.5,2.716,2.495,3.848,4.009,4.602,7.631,8.065,5.317,32.347,6.755
403,2.663,2.474,3.808,3.975,4.582,7.581,8.049,5.32,32.304,6.778
403.5,2.716,2.506,3.716,3.943,4.531,7.54,7.94,5.201,32.21,6.748
404,2.724,2.479,3.687,3.949,4.538,7.59,7.945,5.176,32.223,6.792
404.5,2.668,2.461,3.636,3.926,4.527,7.564,7.942,5.168,32.204,6.804
405,2.607,2.47,3.606,3.938,4.5,7.513,7.881,5.179,32.165,6.778
405.5,2.584,2.479,3.584,3.905,4.454,7.446,7.866,5.243,32.161,6.784
406,2.576,2.469,3.542,3.852,4.405,7.355,7.764,5.284,32.214,6.867
406.5,2.566,2.433,3.482,3.771,4.353,7.261,7.654,5.248,32.316,6.918
407,2.493,2.387,3.453,3.773,4.347,7.236,7.573,5.255,32.461,6.966
407.5,2.472,2.355,3.41,3.734,4.35,7.225,7.549,5.279,32.575,7
408,2.468,2.306,3.438,3.746,4.378,7.222,7.563,5.302,32.642,07.03
408.5,2.451,2.24,3.471,3.792,4.407,7.215,7.535,5.26,32.635,6.988
409,2.397,2.145,3.49,3.785,4.41,7.218,7.58,5.268,32.626,6.955
409.5,2.291,2.035,3.509,3.761,4.407,7.236,7.58,5.239,32.569,6.903
410,2.252,2.016,3.535,3.734,4.371,7.205,7.571,5.202,32.482,6.849
410.5,2.26,2.001,3.512,3.671,4.302,7.143,7.536,5.123,32.409,6.839
411,2.27,2.028,3.462,3.598,4.187,7.017,7.415,4.968,32.358,6.84
411.5,2.3,2.044,3.395,3.535,4.1,6.94,7.34,4.834,32.334,6.845
412,2.293,2.067,3.342,3.495,04.05,6.94,7.306,4.758,32.393,6.907
412.5,2.335,2.092,3.247,3.437,3.994,6.903,7.278,4.737,32.421,6.949
413,2.353,2.122,3.209,3.406,3.968,6.835,7.236,4.747,32.43,6.982
413.5,2.307,2.1,3.201,3.423,3.993,6.894,7.257,4.874,32.472,6.987
414,2.235,2.041,3.148,3.376,3.947,6.851,7.24,4.897,32.406,6.963
414.5,2.152,2.002,3.121,3.329,3.916,6.854,7.2,4.885,32.365,6.966
415,2.152,2.022,03.08,3.288,3.869,6.825,7.165,4.818,32.312,6.947
415.5,2.135,2.011,3.043,3.262,3.82,6.815,7.133,4.714,32.256,6.907
416,2.079,1.968,3.051,3.238,3.751,6.778,7.114,4.604,32.197,6.829
416.5,2.043,1.952,3.025,3.178,3.701,6.716,7.061,4.492,32.094,6.745
417,02.03,1.951,2.992,3.129,3.679,6.62,6.995,4.378,32.006,6.665
417.5,2.026,1.92,2.964,3.079,3.647,6.504,6.86,4.267,31.943,6.582
418,1.982,1.875,2.97,3.069,3.657,6.459,6.825,4.28,31.928,6.528
418.5,1.94,1.836,2.95,03.04,3.664,6.466,6.857,4.359,31.967,6.517
419,1.863,1.753,2.942,3.017,3.615,6.447,6.874,4.392,31.95,6.518
419.5,1.859,1.707,2.914,2.983,3.562,6.374,6.856,4.416,31.969,6.563
420,1.904,1.72,2.874,2.955,3.511,6.298,6.846,4.458,31.973,6.611
420.5,1.908,1.706,2.875,2.965,3.474,6.351,6.887,4.511,31.975,6.708
421,1.892,1.673,2.9,2.988,3.467,6.386,6.93,4.586,31.983,6.78
421.5,1.864,1.685,2.898,2.972,3.472,6.346,6.904,4.603,31.995,6.846
422,1.852,1.658,2.881,2.973,3.456,6.286,6.801,4.589,31.921,6.845
422.5,1.829,1.64,2.866,2.95,3.431,6.219,6.671,4.517,31.889,6.843
423,1.783,1.65,2.826,2.901,3.407,6.136,6.532,4.436,31.854,6.783
423.5,1.725,1.635,2.801,2.848,3.378,6.106,6.48,4.371,31.84,6.732
424,1.682,1.618,2.799,2.82,3.356,6.203,6.494,4.334,31.811,6.707
424.5,1.63,1.588,2.786,2.797,3.354,6.285,6.554,4.366,31.818,6.712
425,1.626,1.606,2.776,2.779,3.351,6.382,6.67,4.393,31.857,6.725
425.5,1.677,1.663,2.737,2.738,3.332,6.482,6.751,4.403,31.935,6.785
426,1.719,1.664,2.713,2.716,3.317,6.534,6.78,4.461,32.053,6.853
426.5,1.68,1.6,2.705,2.709,3.315,6.574,6.842,4.576,32.152,6.948
427,1.65,1.529,2.674,2.687,3.279,6.541,6.848,4.63,32.165,7.015
427.5,1.664,1.526,2.636,2.632,3.217,6.435,6.83,4.652,32.196,7.089
428,1.651,1.539,2.62,2.622,3.189,6.335,6.798,4.706,32.252,7.155
428.5,1.585,1.504,2.594,2.613,3.148,6.3,6.766,4.671,32.317,7.225
429,1.512,1.487,2.568,2.591,3.101,6.293,6.664,4.591,32.326,7.263
429.5,1.452,1.452,2.507,2.563,3.072,6.228,6.591,4.505,32.32,7.241
430,1.396,1.449,2.506,2.556,3.047,6.189,6.557,4.432,32.349,7.211
430.5,1.394,1.46,2.443,2.557,3.025,6.158,6.466,4.368,32.38,7.149
431,1.36,1.426,2.427,2.545,3.027,6.181,6.407,4.32,32.391,07.08
431.5,1.306,1.388,2.418,2.544,3.074,6.225,6.383,4.319,32.315,6.993
432,1.315,1.367,2.42,2.529,3.078,6.213,6.398,4.291,32.248,6.917
432.5,1.331,1.379,2.431,2.492,3.046,6.181,6.408,4.265,32.19,6.826
433,1.319,1.358,2.414,2.466,3.028,6.103,6.389,4.212,32.139,6.768
433.5,1.301,1.325,2.373,2.384,2.947,6.023,6.295,4.137,32.12,6.773
434,1.306,1.336,2.312,2.282,2.813,5.88,6.094,3.962,32.074,6.688
434.5,1.371,1.386,2.225,2.171,2.678,5.706,5.961,3.806,31.989,6.585
435,1.386,1.408,2.195,2.136,2.607,5.635,5.939,3.728,31.996,6.553
435.5,1.416,1.424,2.124,2.096,2.534,5.552,5.88,3.655,31.981,6.525
436,1.447,1.438,2.096,2.059,2.508,5.51,5.827,3.626,31.915,6.518
436.5,1.425,1.431,2.101,2.052,2.543,5.516,5.808,3.716,31.883,6.507
437,1.425,1.393,2.164,2.093,2.588,5.56,5.858,3.829,31.848,6.567
437.5,1.354,1.35,2.206,2.14,2.62,5.611,5.89,3.96,31.825,6.62
438,1.274,1.276,2.24,2.156,2.665,5.676,5.941,4.071,31.853,6.703
438.5,1.228,1.228,2.25,2.132,2.656,5.716,5.913,4.165,31.878,6.762
439,1.181,1.182,2.239,2.098,2.623,5.731,5.825,4.085,31.855,6.71
439.5,1.206,1.195,2.217,2.031,2.563,5.654,5.778,3.943,31.81,6.673
440,1.236,1.188,2.214,2.004,2.54,5.589,5.775,3.819,31.818,6.665
440.5,1.224,1.158,2.186,1.989,2.534,5.542,5.77,3.735,31.821,6.699
441,1.218,1.14,2.202,1.99,2.544,5.557,5.855,3.775,31.797,6.752
441.5,1.168,1.122,2.186,1.966,2.54,5.561,5.925,3.813,31.822,6.782
442,1.14,1.081,2.2,1.993,2.566,5.583,6.024,3.896,31.85,6.864
442.5,1.101,1.045,2.206,02.07,2.604,5.729,6.144,04.05,31.924,6.922
443,1.105,1.051,2.206,2.11,2.637,5.873,6.301,4.201,32.038,6.978
443.5,1.11,01.08,2.152,2.087,2.582,5.875,6.259,4.263,32.066,6.954
444,1.089,1.099,2.073,1.992,2.489,5.771,6.089,4.085,32.035,6.87
444.5,1.096,1.129,1.998,1.884,2.353,5.542,5.845,3.862,31.982,6.792
445,1.11,1.172,1.934,1.784,2.255,5.333,5.619,3.709,31.913,6.664
445.5,1.12,1.228,1.856,1.715,2.188,5.244,5.489,3.614,31.86,6.603
446,1.12,1.224,1.845,1.675,2.177,5.265,5.555,3.692,31.861,6.629
446.5,1.134,1.226,1.791,1.625,2.151,5.23,5.57,3.764,31.863,6.651
447,1.175,1.203,1.779,1.604,2.126,5.26,5.642,3.835,31.826,6.681
447.5,1.216,1.161,1.782,1.629,2.14,5.368,5.755,3.922,31.808,6.699
448,1.192,1.105,1.842,1.698,2.216,5.546,5.947,4.105,31.882,6.809
448.5,1.159,1.083,1.869,1.741,2.244,5.654,06.05,4.215,31.929,6.881
449,1.123,1.073,1.887,1.743,2.25,5.618,5.967,4.112,31.974,6.899
449.5,1.077,1.049,1.892,1.732,2.229,5.516,5.815,3.96,31.999,6.88
450,1.041,1.049,1.869,1.685,2.189,5.379,5.643,3.798,32.014,6.823
450.5,998,01.05,1.875,1.708,2.188,5.414,5.623,3.758,32.062,6.863
451,0.95,986,1.897,1.722,2.203,5.458,5.663,3.793,32.128,6.932
451.5,928,0.95,1.868,1.692,2.168,5.449,5.661,3.804,32.15,6.951
452,912,937,1.81,1.627,2.059,5.434,5.622,3.726,32.015,6.914
452.5,896,902,1.724,1.542,1.963,5.304,5.528,3.607,31.848,6.828
453,842,879,1.715,1.536,1.947,5.335,5.525,3.595,31.732,6.813
453.5,846,887,1.701,1.505,1.924,5.331,5.54,3.557,31.639,6.737
454,868,936,1.693,1.472,1.891,5.261,5.464,3.472,31.588,6.653
454.5,849,941,1.724,1.462,1.881,5.213,5.432,3.401,31.563,6.617
455,0.79,945,1.75,1.454,1.854,5.18,5.425,3.389,31.577,6.622
455.5,739,896,1.774,1.472,1.862,5.248,5.477,3.412,31.594,6.641
456,659,823,1.802,1.456,1.87,5.279,5.484,3.445,31.618,6.631
456.5,0.58,768,1.789,1.445,1.86,5.272,5.477,3.493,31.619,6.61
457,563,739,1.74,1.416,1.829,5.24,5.406,3.46,31.497,6.576
457.5,568,0.73,1.663,1.346,1.779,5.104,5.248,3.323,31.344,6.485
458,601,735,1.63,1.356,1.781,5.028,5.172,3.226,31.202,6.416
458.5,671,771,1.63,1.344,1.768,4.958,5.122,3.161,31.117,6.34
459,757,824,1.617,1.324,1.736,4.916,5.108,3.138,31.097,6.328
459.5,801,0.86,1.647,1.332,1.739,4.885,5.15,3.172,31.144,6.401
460,819,912,1.629,1.284,1.701,4.826,5.174,3.187,31.211,6.428
460.5,0.86,929,1.584,1.237,1.678,4.764,5.153,3.195,31.315,6.437
461,813,884,1.566,1.223,1.684,4.745,5.137,3.243,31.403,6.426
461.5,763,861,1.559,1.21,1.674,4.713,5.082,3.284,31.462,6.399
462,736,844,1.536,1.188,1.67,4.718,5.008,3.258,31.461,6.38
462.5,721,0.8,1.513,1.167,1.668,4.693,4.937,3.191,31.475,6.378
463,708,768,1.5,1.208,1.706,4.756,4.938,3.174,31.526,6.387
463.5,717,752,1.555,1.279,1.773,4.906,5.038,3.297,31.635,6.466
464,712,751,1.591,1.337,1.814,5.015,5.119,3.332,31.72,6.575
464.5,687,727,1.629,1.365,1.881,5.134,5.243,3.407,31.81,6.706
465,0.68,725,1.617,1.355,1.897,5.158,5.299,3.401,31.848,6.74
465.5,722,737,1.587,1.346,1.856,5.106,5.295,3.39,31.866,6.73
466,0.7,727,1.569,1.333,1.828,5.083,5.302,3.391,31.78,6.688
466.5,687,719,1.606,1.327,1.808,5.093,5.31,3.429,31.724,6.633
467,736,774,1.606,1.285,1.734,5.089,5.306,3.433,31.664,6.589
467.5,822,0.82,1.571,1.209,1.667,5.006,5.244,3.391,31.605,6.561
468,932,892,1.508,1.158,1.611,4.943,5.129,3.345,31.577,6.529
468.5,979,921,1.505,1.16,1.606,4.887,5.087,3.377,31.596,6.56
469,953,0.91,1.49,1.166,1.609,4.845,5.003,3.357,31.636,6.6
469.5,893,893,1.487,1.148,1.624,4.798,4.873,3.275,31.633,6.618
470,887,898,1.449,1.125,1.594,4.652,4.72,3.098,31.579,6.572
470.5,843,881,1.375,1.076,1.512,4.509,4.566,2.905,31.507,6.503
471,804,0.84,1.394,1.086,1.528,4.522,4.565,2.845,31.466,6.513
471.5,793,806,1.434,1.108,1.545,4.596,4.627,2.836,31.493,6.545
472,788,795,1.449,1.132,1.525,4.659,4.704,2.868,31.516,6.567
472.5,804,787,1.443,1.122,1.52,4.731,4.787,2.964,31.498,6.605
473,814,762,1.415,1.134,1.533,4.779,4.899,3.102,31.524,6.641
473.5,804,0.71,1.397,1.155,1.553,4.835,5.016,3.231,31.56,6.701
474,0.73,649,1.377,1.158,1.578,4.847,5.107,3.309,31.627,6.722
474.5,0.66,631,1.374,1.149,1.563,4.736,5.007,3.213,31.574,6.655
475,642,626,1.355,1.131,1.529,4.625,4.951,3.157,31.529,6.615
475.5,564,604,1.361,1.095,1.519,4.644,4.959,3.138,31.532,6.602
476,513,558,1.434,1.162,1.601,4.723,5.037,3.169,31.603,6.636
476.5,473,534,1.504,1.237,1.652,4.81,5.045,3.159,31.677,6.66
477,465,541,1.521,1.263,1.647,4.826,4.983,3.128,31.705,6.617
477.5,447,502,1.54,1.28,1.667,4.851,4.989,3.198,31.714,6.573
478,0.46,492,1.555,1.3,1.698,4.887,5.034,3.272,31.75,6.543
478.5,547,562,1.519,1.277,1.684,4.874,5.015,3.216,31.706,6.496
479,585,583,1.478,1.218,1.639,4.73,4.921,3.062,31.603,6.394
479.5,607,579,1.465,1.203,1.608,4.58,4.803,2.952,31.428,6.287
480,0.61,568,1.458,1.187,1.566,4.545,4.792,2.962,31.274,6.266
480.5,0.59,564,1.457,1.167,1.536,4.566,4.801,2.991,31.205,6.279
